trajectory_ID	taxon	abundance	time	type
5	Bacteroides-vulgatus	1055.3849	56	simulation
5	Enterococcus-faecalis	7748	30	simulation
5	Enterococcus-faecalis	7826.8461	30.1	simulation
5	Enterococcus-faecalis	7906.4741	30.2	simulation
5	Enterococcus-faecalis	7986.9095	30.3	simulation
5	Enterococcus-faecalis	8068.1329	30.4	simulation
5	Enterococcus-faecalis	8150.1406	30.5	simulation
5	Enterococcus-faecalis	8232.9518	30.6	simulation
5	Enterococcus-faecalis	8316.5607	30.7	simulation
5	Enterococcus-faecalis	8400.9761	30.8	simulation
5	Enterococcus-faecalis	8486.2415	30.9	simulation
5	Enterococcus-faecalis	8572.4298	31	simulation
5	Enterococcus-faecalis	8659.4785	31.1	simulation
5	Enterococcus-faecalis	8747.3806	31.2	simulation
5	Enterococcus-faecalis	8836.1442	31.3	simulation
5	Enterococcus-faecalis	8925.7557	31.4	simulation
5	Enterococcus-faecalis	9016.3211	31.5	simulation
5	Enterococcus-faecalis	9107.8397	31.6	simulation
5	Enterococcus-faecalis	9200.2883	31.7	simulation
5	Enterococcus-faecalis	9293.6476	31.8	simulation
5	Enterococcus-faecalis	9387.9344	31.9	simulation
5	Enterococcus-faecalis	9483.1432	32	simulation
5	Enterococcus-faecalis	9579.3713	32.1	simulation
5	Enterococcus-faecalis	9676.6096	32.2	simulation
5	Enterococcus-faecalis	9774.8143	32.3	simulation
5	Enterococcus-faecalis	9873.9855	32.4	simulation
5	Enterococcus-faecalis	9974.1381	32.5	simulation
5	Enterococcus-faecalis	10075.3316	32.6	simulation
5	Enterococcus-faecalis	10177.5607	32.7	simulation
5	Enterococcus-faecalis	10280.8285	32.8	simulation
5	Enterococcus-faecalis	10385.1365	32.9	simulation
5	Enterococcus-faecalis	10490.5002	33	simulation
5	Enterococcus-faecalis	10596.9486	33.1	simulation
5	Enterococcus-faecalis	10704.4738	33.2	simulation
5	Enterococcus-faecalis	10813.0781	33.3	simulation
5	Enterococcus-faecalis	10922.7798	33.4	simulation
5	Enterococcus-faecalis	11033.5889	33.5	simulation
5	Enterococcus-faecalis	11145.5155	33.6	simulation
5	Enterococcus-faecalis	11258.5697	33.7	simulation
5	Enterococcus-faecalis	11372.7616	33.8	simulation
5	Enterococcus-faecalis	11488.1263	33.9	simulation
5	Enterococcus-faecalis	11604.6679	34	simulation
5	Enterococcus-faecalis	11722.4205	34.1	simulation
5	Enterococcus-faecalis	11841.3673	34.2	simulation
5	Enterococcus-faecalis	11961.5195	34.3	simulation
5	Enterococcus-faecalis	12082.8882	34.4	simulation
5	Enterococcus-faecalis	12205.4647	34.5	simulation
5	Enterococcus-faecalis	12329.2715	34.6	simulation
5	Enterococcus-faecalis	12454.3793	34.7	simulation
5	Enterococcus-faecalis	12580.7496	34.8	simulation
5	Enterococcus-faecalis	12708.3673	34.9	simulation
5	Enterococcus-faecalis	12837.2681	35	simulation
